mode,run_tag,regime_clustering,knn_metric,pca_k,tau,k_neighbors,primary_metric,model_mean,mix_mean,model_stein_mean,mix_stein_mean,model_logeuc_mean,mix_logeuc_mean,model_gmvp_sharpe_mean,mix_gmvp_sharpe_mean,roll_gmvp_sharpe_mean,pers_gmvp_sharpe_mean,shrink_gmvp_sharpe_mean,model_gmvp_var_mean,mix_gmvp_var_mean,roll_gmvp_var_mean,pers_gmvp_var_mean,shrink_gmvp_var_mean,model_gmvp_vol_mean,mix_gmvp_vol_mean,roll_gmvp_vol_mean,pers_gmvp_vol_mean,shrink_gmvp_vol_mean,model_turnover_l1_mean,mix_turnover_l1_mean,roll_turnover_l1_mean,pers_turnover_l1_mean,shrink_turnover_l1_mean,_objective,is_pareto
grid,regime_clustering=agglomerative_ward|knn_metric=lp_p1|pca_k=48|tau=1.0|k_neighbors=10,agglomerative_ward,lp_p1,48,1.0,10,fro,0.0278150319613807,0.0222925541626287,882.2603927257674,820.7768550361345,103.84427318179632,96.53853038436496,1.707432732608387,1.7979732772005117,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001746365543135,0.0001038940330557,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0102263425418732,0.0080428208128708,0.0076470988132988,0.0078925594241406,0.0077648754435034,2.3271315430228867e-15,0.1248999696812884,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.707432732608387,False
grid,regime_clustering=agglomerative_ward|knn_metric=l1|pca_k=48|tau=1.0|k_neighbors=50,agglomerative_ward,l1,48,1.0,50,fro,0.0278150319613807,0.0222925541626287,882.2603927257777,820.7768550361309,103.84427318179634,96.53853038436496,1.707432732608387,1.797973277200512,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001746365543135,0.0001038940330557,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0102263425418732,0.0080428208128708,0.0076470988132988,0.0078925594241406,0.0077648754435034,2.347758871115752e-15,0.1248999696812884,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.707432732608387,False
grid,regime_clustering=agglomerative_ward|knn_metric=l1|pca_k=40|tau=1.0|k_neighbors=10,agglomerative_ward,l1,40,1.0,10,fro,0.027813736212099,0.0222922332320388,882.1931855021602,820.780869543664,103.84253785108707,96.53714190764208,1.707043900552204,1.7979001222753708,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001745895819164,0.0001038874364758,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0102248523108487,0.0080425904939691,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.0006061144837611,0.1249379399693537,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.707043900552204,True
grid,regime_clustering=agglomerative_ward|knn_metric=l1|pca_k=40|tau=1.0|k_neighbors=50,agglomerative_ward,l1,40,1.0,50,fro,0.0278136894598264,0.0222922215425185,882.1916887685395,820.7810552835551,103.84247097181976,96.53708930056276,1.707030683611422,1.7978974881497312,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001745880478603,0.0001038872006252,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0102248030085625,0.0080425822411888,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.0006266093636863,0.1249394113651861,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.707030683611422,True
grid,regime_clustering=agglomerative_ward|knn_metric=l1|pca_k=48|tau=2.0|k_neighbors=50,agglomerative_ward,l1,48,2.0,50,fro,0.0278121266174828,0.0222918622489047,882.1255260094963,820.741687695787,103.8404377342702,96.53557198476057,1.7066878593357926,1.797654025819671,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.000174616238754,0.0001038924124096,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0102256202741466,0.0080427763458094,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.0018332289056363,0.1249727254658296,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.7066878593357926,False
grid,regime_clustering=agglomerative_ward|knn_metric=lp_p1|pca_k=48|tau=2.0|k_neighbors=10,agglomerative_ward,lp_p1,48,2.0,10,fro,0.0278121195822845,0.0222918599913858,882.1247968310151,820.7415050419003,103.84039277960868,96.53554258344091,1.7066844172786462,1.7976517975478223,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001746159888974,0.0001038923887619,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0102256119210109,0.0080427755752099,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.0018472809441256,0.1249734631578358,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.7066844172786462,False
grid,regime_clustering=agglomerative_ward|knn_metric=l1|pca_k=48|tau=2.0|k_neighbors=10,agglomerative_ward,l1,48,2.0,10,fro,0.0278121423435866,0.0222918675422016,882.1260114601041,820.7419036747252,103.84046628055157,96.53559328704294,1.7066839003571457,1.7976528391569948,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001746161950901,0.000103892412387,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0102256188224109,0.0080427763667556,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.0018194092375178,0.1249700771781486,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.7066839003571457,False
grid,regime_clustering=agglomerative_ward|knn_metric=lp_p1|pca_k=48|tau=2.0|k_neighbors=50,agglomerative_ward,lp_p1,48,2.0,50,fro,0.0278121026210531,0.0222918550869315,882.1241384245324,820.7414910101521,103.8403709821224,96.53553043428244,1.7066794206595155,1.797650203096935,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001746155154614,0.0001038923347475,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0102255969906484,0.0080427737228922,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.0018508713456689,0.1249721423408574,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.7066794206595155,False
grid,regime_clustering=agglomerative_ward|knn_metric=lp_p1|pca_k=40|tau=2.0|k_neighbors=50,agglomerative_ward,lp_p1,40,2.0,50,fro,0.0277896696178611,0.0222879473056396,881.29525123556,820.5543103456529,103.8104311280631,96.51123789462967,1.7021779643465746,1.7966270300824674,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001742737665131,0.000103858439486,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.010212764940221,0.0080410445758762,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.0149482793333383,0.1258733095763937,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.7021779643465746,True
grid,regime_clustering=agglomerative_ward|knn_metric=l1|pca_k=40|tau=2.0|k_neighbors=10,agglomerative_ward,l1,40,2.0,10,fro,0.0277907646729486,0.0222886433329685,881.3688766546252,820.5483255126721,103.81275980232522,96.51258067752453,1.7016104232729912,1.7961473208828724,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001743265688738,0.0001038656498337,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0102141377944288,0.0080412713267794,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.0143673200785549,0.1258392365464931,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.7016104232729912,True
grid,regime_clustering=agglomerative_ward|knn_metric=lp_p1|pca_k=40|tau=2.0|k_neighbors=10,agglomerative_ward,lp_p1,40,2.0,10,fro,0.0277898192410319,0.0222877249416445,881.2807686551929,820.5531220845231,103.81002246397163,96.51134631848488,1.7015386813696862,1.7963168710237536,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001742667620294,0.0001038579709718,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0102126358187904,0.0080410691640018,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.0150184791297711,0.1259462546976257,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.7015386813696862,True
grid,regime_clustering=agglomerative_ward|knn_metric=l1|pca_k=40|tau=2.0|k_neighbors=50,agglomerative_ward,l1,40,2.0,50,fro,0.0277900350375491,0.0222888839727308,881.2756426206538,820.539531578507,103.80877395739016,96.50924772072688,1.7006406848038318,1.7958090607480366,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001742627316144,0.0001038578578748,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.010211813503283,0.0080409802680242,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.0156582961689226,0.1259940938465295,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.7006406848038318,True
