date,method,eta,raw_frob_sq,raw_frob,cond_stein,cond_kl,nll,gmvp_var_raw,R_raw,R_cond,leverage_l1,max_abs_w,hhi,gmvp_var_raw_Lmax,R_raw_Lmax,R_cond_Lmax,leverage_l1_Lmax,max_abs_w_Lmax
2021-06-01,oas,0.05,0.00012945924253723453,0.011378015755712177,236.4397680384693,118.2198840192348,-259.5295184369989,5.148258810387108e-05,5.145324072397555e-05,5.142681458590823e-05,2.2289657401231877,0.0782601829999172,0.07725767386536127,5.044663869362675e-05,5.0411624877393145e-05,5.01735167318419e-05,2.0,0.0699866006540641
2021-06-01,shrink,0.001,0.00012712468236796739,0.011274958198058536,522.5180370208357,261.2590185104192,-268.01415041062955,3.4683958749390296e-05,3.468330139449063e-05,3.468869516577754e-05,2.171718453746861,0.17464558757653384,0.09674881346013926,3.552755189636369e-05,3.544851776380104e-05,3.545073704688828e-05,2.0,0.15966473625158162
2021-06-01,shrink,0.01,0.00012712468236796739,0.011274958198058536,338.8076098392431,169.40380491962193,-268.01415041062955,3.4683958749390296e-05,3.468211382497004e-05,3.473969559979717e-05,2.171718453746861,0.17464558757653384,0.09674881346013926,3.552755189636369e-05,3.546202922735517e-05,3.548481213093986e-05,2.0,0.15966473625158162
2021-06-01,shrink,0.05,0.00012712468236796739,0.011274958198058536,220.78864037761855,110.3943201888094,-268.01415041062955,3.4683958749390296e-05,3.465461136949476e-05,3.4989355695463846e-05,2.171718453746861,0.17464558757653384,0.09674881346013926,3.552755189636369e-05,3.5492538080130086e-05,3.5606238647772074e-05,2.0,0.15966473625158162
2021-06-01,persistence,0.001,0.00024023626667724884,0.01549955698325758,39071.746170846185,19535.873085424144,19036.61082414138,4.281233886284288e-05,4.281168150794321e-05,4.2803642883538386e-05,2.064619184295736,0.058729144777820486,0.0651942162738407,4.23961998814507e-05,4.2317165748888046e-05,4.2309451082265945e-05,2.0,0.05669747647889979
2021-06-01,persistence,0.01,0.00024023626667724884,0.01549955698325758,3895.1631183938216,1947.581559196928,1490.2220873863141,4.277416425276842e-05,4.2772319328348164e-05,4.2690497143429206e-05,2.057263412938308,0.05857323977982471,0.06464262160771785,4.240690330313864e-05,4.234138063413012e-05,4.2261790445780465e-05,2.0,0.056499491422329705
2021-06-01,persistence,0.05,0.00024023626667724884,0.01549955698325758,767.9008706723906,383.9504353361954,-12.563982317019574,4.261983299352868e-05,4.2590485613633145e-05,4.219726192404063e-05,2.0253134843410088,0.057896063544635584,0.062299392165419375,4.246009060713408e-05,4.2425076790900476e-05,4.2019380109180167e-05,2.0,0.05687561471669048
2021-06-08,D0_pca8,0.001,0.00018733572054920432,0.013687063985720397,296382.9576406597,148191.47882032956,149915.07715749953,0.00013510889520382345,0.00013510823144007185,0.00013522616608153411,5.733848610930252,0.24219857956133936,0.592959995028802,6.892655618608023e-05,6.886031176539127e-05,6.885850199222146e-05,1.9999999999999996,0.08703428302199143
2021-06-08,D0_pca8,0.01,0.00018733572054920432,0.013687063985720397,80566.73827574222,40283.369137871116,39648.29799379278,8.978658322100835e-05,8.978462181435537e-05,9.02799823722179e-05,4.4793234920612255,0.14026964773373013,0.3046381000220344,6.188357388511467e-05,6.184047107771087e-05,6.178304768037586e-05,2.0,0.063476634848217
2021-06-08,D0_pca8,0.05,0.00018733572054920432,0.013687063985720397,21366.75486683327,10683.377433416637,9662.821357323086,6.291905680640099e-05,6.288743082947729e-05,6.361457840218606e-05,3.2855041192970544,0.09928341326802392,0.158448569813632,4.566530428843575e-05,4.563367831151205e-05,4.531099224651517e-05,1.9999999999999998,0.052703007512306825
