date,raw_anchor,mix_lambda,shrink_gamma,regime_assigned,regime_prob_0,regime_raw_0,regime_prob_1,regime_raw_1,regime_prob_2,regime_raw_2,regime_prob_3,regime_raw_3,model_vol_mse,model_vol_mae,model_vol_rmse,model_vol_qlike,model_vol_r2,mix_vol_mse,mix_vol_mae,mix_vol_rmse,mix_vol_qlike,mix_vol_r2,roll_vol_mse,roll_vol_mae,roll_vol_rmse,roll_vol_qlike,roll_vol_r2,pers_vol_mse,pers_vol_mae,pers_vol_rmse,pers_vol_qlike,pers_vol_r2,shrink_vol_mse,shrink_vol_mae,shrink_vol_rmse,shrink_vol_qlike,shrink_vol_r2
2012-03-19,1187,0.2,0.3,2,1.1640582133534242e-12,9.99999999997151e-13,7.700045846301924e-13,9.99999999997151e-13,0.9999999999883168,0.9999999999970001,9.749238746390079e-12,9.99999999997151e-13,0.0642972116053702,0.18402396330510037,0.25356894842501954,-7.577576284222342,0.9014942114607242,0.09943860573685213,0.2095894689351018,0.3153388744459714,-7.531922151106354,0.8476562509510652,0.08865297846214146,0.21157047996862463,0.2977465003356739,-7.521368000681163,0.8641802446524867,0.11722568075318814,0.2507117931462111,0.3423823604585787,-7.260550935599476,0.8204057713961308,0.1163497925936742,0.21773499882157057,0.3411008539914173,-7.514774541169965,0.821747665572735
2012-03-26,1192,0.2,0.3,2,1.1520189915696655e-13,9.99999999997048e-13,8.764552928390958e-14,9.99999999997048e-13,0.9999999999997095,0.9999999999970001,8.764548170087155e-14,9.99999999997048e-13,0.053771736369326584,0.1748343231062715,0.23188733550870472,-7.49172071235099,0.9129679813573588,0.08018031828805162,0.1881120533359585,0.2831612937674421,-7.459548654010091,0.8702244817223481,0.07128842724117762,0.19500065531015318,0.26699892741578124,-7.4430828372294835,0.8846164147267903,0.10346171689019283,0.23630050191333954,0.3216546547000258,-7.241811138107204,0.8325424715441507,0.09555506109396335,0.19692054618493757,0.30911981672801786,-7.443773553068106,0.8453397561609616
2012-04-02,1197,0.2,0.3,2,1.1520189915696135e-13,9.999999999970029e-13,8.76455292839056e-14,9.999999999970029e-13,0.9999999999997095,0.9999999999970001,8.764548170086757e-14,9.999999999970029e-13,0.08907963239790245,0.21287977253432672,0.29846211216484825,-7.130767667057833,0.8723601911044718,0.14255469902442414,0.2649068762191924,0.3775641654400271,-7.000634294987278,0.7957372066898483,0.12239391342811638,0.24960777941224044,0.34984841492868934,-7.022390819452695,0.8246250540173035,0.15550313346744155,0.29253295737310536,0.3943388561471486,-6.839229223960287,0.7771837433075506,0.16545148252223826,0.2848822318449799,0.40675727715953436,-6.954342744697122,0.7629290215715171
2012-04-10,1202,0.2,0.3,2,1.1520189915696163e-13,9.999999999970055e-13,8.764552928390583e-14,9.999999999970055e-13,0.9999999999997095,0.9999999999970001,8.764548170086781e-14,9.999999999970055e-13,0.11564397969364591,0.2512723253223746,0.34006466986978506,-7.0572631334154945,0.8419360339049554,0.16987516617379786,0.2996359439779245,0.4121591515104303,-6.8982947170480005,0.7678120160027614,0.1406351550062675,0.27451258001276924,0.37501353976392304,-6.9293648936650785,0.8077777119780027,0.16366810529584602,0.29760406281828333,0.4045591493166927,-6.838775883663324,0.7762959220630814,0.19257502452257366,0.3145265572750046,0.43883370941915306,-6.844372237707572,0.7367855012640926
2012-04-17,1207,0.2,0.3,0,0.9999999999997211,0.9999999999970001,8.43187472421156e-14,9.999999999970206e-13,1.1017326078202736e-13,9.999999999970206e-13,8.431870326282686e-14,9.999999999970206e-13,0.10666068467418995,0.24884454648915377,0.32658947422443046,-7.195911202669066,0.8521418716797904,0.15464742141329935,0.2850203427652109,0.39325236351902493,-7.056062638526843,0.7856203684650611,0.1224471976476562,0.26701827038539,0.3499245599377903,-7.107065197376277,0.8302578544517981,0.14696264798790218,0.28012234374860556,0.38335707635036836,-7.002635007871024,0.7962733679157488,0.17635445950713144,0.29731388478338017,0.4199457816279757,-7.006233837013899,0.7555290369333579
2012-04-24,1212,0.2,0.3,0,0.9999999999997211,0.9999999999970001,8.431874724212908e-14,9.999999999971804e-13,1.1017326078204495e-13,9.999999999971804e-13,8.431870326284034e-14,9.999999999971804e-13,0.2579580875137716,0.3060255724134282,0.5078957447289469,4.939881761079859,0.5384812427465608,0.25548990866643667,0.3573204307069285,0.5054600960179119,-5.122158751024148,0.5428971183846543,0.30860807912675864,0.34609346243117384,0.5555250481542292,11.6802170396523,0.447862175868594,0.315760294510313,0.35104814511605636,0.5619255239890008,11.66356668328691,0.4350659825519153,0.26589915108135753,0.3769250016966133,0.5156541002274272,-5.682688243292054,0.5242737029702118
2012-05-01,1217,0.2,0.3,0,0.9999999999997211,0.9999999999970001,8.431874724214355e-14,9.999999999973518e-13,1.1017326078206383e-13,9.999999999973518e-13,8.43187032628548e-14,9.999999999973518e-13,0.3929112415732561,0.2651595475739857,0.6268263248885261,734.9290351727898,0.19137377935833388,0.3329590947818613,0.29784867303775653,0.5770260780778121,93.40278570714094,0.3147575687484405,0.4432227375417326,0.2974757836854417,0.6657497559456801,1146.5200029666219,0.0878308145988681,0.4592366741708374,0.31171981639402807,0.67767003340183,1146.4729878512487,0.05487352632648901,0.32771387680028097,0.3117284505908367,0.5724629916424999,53.92831552023346,0.3255524260701703
2012-05-08,1222,0.2,0.3,0,0.9999999999992001,0.9999999999919723,6.378271146287937e-13,6.027725365290778e-12,8.11420862062493e-14,9.999999999979995e-13,8.114213624014948e-14,9.999999999979995e-13,0.4900691572900731,0.2921249056282602,0.7000493963214832,1190.4241484028328,0.07578890202562782,0.4456179635523831,0.36033038558449143,0.667546225779446,156.09182828022043,0.15961847170871923,0.5715990356218102,0.35813763710978647,0.7560416890766078,1858.347428815533,-0.07796657768535398,0.5939200822416163,0.38718476670344304,0.7706621064004745,1858.044864976289,-0.12006136920111032,0.4445361526384353,0.37936019755600875,0.6667354442643914,92.95166240857745,0.16165863611757325
2012-05-15,1227,0.2,0.3,0,0.9999999999991944,0.9999999999919201,6.433508793107221e-13,6.079927185692148e-12,8.114208620625317e-14,9.999999999980007e-13,8.114213624015337e-14,9.999999999980007e-13,0.5061078745245349,0.3161667419984166,0.7114125909235335,1365.5298778051877,0.04938093357494211,0.45747266861372454,0.3756829914340996,0.676367258679576,178.50318095074178,0.1407321185011977,0.5830617583710528,0.3743656588791591,0.7635848075826632,2133.0560666956544,-0.09516103643230966,0.6195653371107166,0.4185939111883299,0.787124727797772,2132.303813923366,-0.16372546644690456,0.4548427642597616,0.3925980896898677,0.6744203172056441,106.27065897616043,0.14567185041922026
2012-05-22,1232,0.2,0.3,1,9.450406273142191e-12,9.99999999997e-13,0.9999999999890159,0.9999999999970001,7.668256804953745e-13,9.99999999997e-13,7.668261533360587e-13,9.99999999997e-13,0.3171687427291003,0.3150029056127163,0.5631773634736221,16.40937228586253,0.3638779167236289,0.235812051095175,0.29558716244555616,0.4856048301810588,-3.2164351347303404,0.5270490657004651,0.239027763922163,0.28534709430298655,0.4889046572923631,-1.9764380962466022,0.5205995463527489,0.24389822675764986,0.31723926525575563,0.49386053371134025,-4.242387037048491,0.5108312162872723,0.2278959959544935,0.29508032776630116,0.4773845367777359,-4.071116365182599,0.5429257168612698
