date,method,cond_number_hat,cond_number_real,min_eig_hat,min_eig_real,logeig_mse_top,logeig_mse_mid,logeig_mse_bot,inv_frob_sq,leverage_l1
2018-02-20,ewma,4656.330579501463,5201.551397572345,4.951429911651129e-06,5.352134350401325e-06,0.09954980664897055,,0.006055797434122085,1343857033044.7725,4.4598575924631705
2018-02-20,ledoit_wolf,121.22426265846694,5201.551397572345,8.299944502216618e-05,5.352134350401325e-06,0.5526757972340408,,7.514935791002662,2575129411087.155,2.7567038808236024
2018-02-20,oas,233.50898780072168,5201.551397572345,4.8674600092079044e-05,5.352134350401325e-06,0.43913511247918036,,4.873770374582531,2437132559795.871,3.26496664377676
2018-02-20,shrink,258.4230243127841,5201.551397572345,3.7058037594671635e-05,5.352134350401325e-06,0.4886858017694199,,4.644077209172897,2537675710094.625,2.757896053075003
2018-02-20,persistence,4858.610305614291,5201.551397572345,5.833554165632389e-06,5.352134350401325e-06,0.1295008393522249,,0.007418550494254464,888480176934.6552,3.354600976437094
2018-02-27,D0_pca8,9702.679259569002,4681.18187208572,1.789140894370462e-07,6.158528868898666e-06,36.82710417957843,,12.522270564564826,2338770611392273.0,2.974815331659178
2018-02-27,rolling,3900.9737164594662,4681.18187208572,3.639913176103063e-06,6.158528868898666e-06,0.4868938112776616,,0.27654765830413786,1948811529200.4785,5.018246670524852
2018-02-27,ewma,4327.892145304761,4681.18187208572,4.511995694777826e-06,6.158528868898666e-06,0.3087784845729849,,0.09678215833625362,1277074241548.9202,4.672525252279375
2018-02-27,ledoit_wolf,132.66580070393232,4681.18187208572,8.152970690316568e-05,6.158528868898666e-06,0.7359212512198299,,6.67255737604934,1914872806927.1428,2.8699385311570063
2018-02-27,oas,232.9063418961809,4681.18187208572,5.136335254901333e-05,6.158528868898666e-06,0.6369914758744212,,4.499009471020049,1814239084528.8772,3.338761147915141
2018-02-27,shrink,263.6368521877119,4681.18187208572,3.824273075208225e-05,6.158528868898666e-06,0.6808886382742123,,4.329969519085802,1897783769573.5557,2.8899204897575976
2018-02-27,persistence,5350.509321615432,4681.18187208572,5.672837212204068e-06,6.158528868898666e-06,0.2443941001696409,,0.006748381374057169,752649837466.1577,3.6254664160562178
2018-03-06,D0_pca8,9566.011424858803,4638.070492718152,1.3711497435991492e-07,6.543751263566744e-06,36.69560657779826,,14.94161808005624,3897509357475264.5,3.773092297471979
2018-03-06,rolling,3978.5262323063384,4638.070492718152,3.775386913735004e-06,6.543751263566744e-06,0.537751052205575,,0.3025083661331741,1835138715157.769,5.1728511207451335
2018-03-06,ewma,4242.484850960425,4638.070492718152,4.2182432480482765e-06,6.543751263566744e-06,0.40673335064444477,,0.19280156934558648,1428497415948.5232,4.893022662073315
2018-03-06,ledoit_wolf,156.2064717461996,4638.070492718152,7.549027178798284e-05,6.543751263566744e-06,0.7462968091649609,,5.980436351306066,1673306944008.2856,3.2550232408914366
2018-03-06,oas,245.95549097888008,4638.070492718152,5.169615966590143e-05,6.543751263566744e-06,0.6762553479422334,,4.271963069793906,1595117683539.2197,3.6192028439516535
